"Position (bp)"	"ATAC_THP1_0hrPMA_rep1_r1_val_1"	"ATAC_THP1_0hrPMA_rep1_r2_val_2"	"ATAC_THP1_0hrPMA_rep2_r1_val_1"	"ATAC_THP1_0hrPMA_rep2_r2_val_2"	"ATAC_THP1_24hrPMA_rep1_r1_val_1"	"ATAC_THP1_24hrPMA_rep1_r2_val_2"	"ATAC_THP1_24hrPMA_rep2_r1_val_1"	"ATAC_THP1_24hrPMA_rep2_r2_val_2"
36	33.68574512666363	33.167268083779454	33.56807262629183	33.43072626391539	33.594231277978466	33.16218203844813	33.525202244223905	33.36746056079279
37	33.65983254423679	33.15868742068987	33.54359002776683	33.4021594857052	33.57136932917351	33.14890338993346	33.50150396777544	33.34107297053813
38	33.595031219625085	33.071166392700036	33.47382978636342	33.321153055920924	33.50459107349208	33.06477655666712	33.43287226659836	33.258729456230746
39	33.55860412093483	33.02364574640979	33.43871098694009	33.270201336632134	33.46655544742283	33.014570450528396	33.39483532838439	33.204986825229874
40	33.559644205378476	33.01397572321053	33.43828655348988	33.24967753485741	33.46692996893055	33.00004790036429	33.390934959033466	33.183419873265514
41	33.548421355700896	32.99360837779578	33.425490455961565	33.219564766073425	33.45028687617976	32.97419998442474	33.37336379549696	33.14936000853923
42	33.484315505585386	32.948171847133096	33.36304821139816	33.1684038069999	33.39070019606658	32.9300659557009	33.3129306366158	33.098613186764126
43	33.414463368200586	32.90007532450936	33.29136353344606	33.10693573603213	33.32294482300512	32.882832385703665	33.242248227471435	33.04006806083147
44	33.3571772703344	32.846503328178656	33.23260412885304	33.04643333476105	33.262476459925615	32.824315531865864	33.178729994155155	32.975765420495975
45	33.3051125812674	32.83002940395902	33.17740067599787	33.02624898519073	33.20800374053884	32.80647382252016	33.122311967193596	32.954172803152034
46	33.25255099287385	32.797444990108104	33.122833858856595	32.991661206952344	33.15530404739753	32.773323016076354	33.06569163456261	32.919479530455
47	33.20764813695543	32.742257987650035	33.07856397014839	32.92642760405245	33.110479712323546	32.71495076813165	33.01983847951697	32.850987287518386
48	33.09021927513445	32.65198546599771	32.95807429649815	32.826991075885324	32.991163938847144	32.62367714220334	32.89688691039199	32.753941571103844
49	33.02919399306227	32.61969250520582	32.89420027888629	32.79737161140367	32.93042759546183	32.59122167757798	32.83645304773534	32.72153393517388
50	32.949222856006564	32.565347217111025	32.81061903643242	32.74559132181323	32.84605209363909	32.53510380202698	32.74489262663523	32.666688834228616
51	32.909944971383894	32.55267558730557	32.7699977510287	32.73337783394214	32.80621806774292	32.52241804280981	32.706256930025354	32.654172121227724
52	32.90531730387333	32.55710389195262	32.76279635039382	32.729355447007656	32.798537022273635	32.52371122208473	32.69702901048848	32.648314228184425
53	32.8062639942717	32.46056650472161	32.661603006719886	32.63503378050767	32.702396115880276	32.43130375645675	32.59646274458925	32.5567687976557
54	32.756301198896026	32.45303640919079	32.60825770802251	32.615041592960395	32.64962200181677	32.418294422337375	32.5392466795432	32.53267443174907
55	32.696487384042705	32.44453568034943	32.54687277227971	32.602465332477074	32.59020156946336	32.41162120193077	32.479945712362536	32.52371636773602
56	32.6201362126578	32.41320676186389	32.46460660173404	32.563660171939866	32.5081776020602	32.37622928773618	32.39442028484728	32.483131982035964
57	32.6214592177324	32.39389226285729	32.46374435930947	32.536527520450555	32.507240830542905	32.35461580540985	32.39159105323722	32.45630039354465
58	32.58091578661674	32.368714998069336	32.42396271413071	32.51064479093262	32.46600235972801	32.32729343157862	32.35083833493227	32.4259565349743
59	32.529375909734604	32.37539742307894	32.36953249072877	32.51251418714346	32.41442683438934	32.332359126873456	32.29756317328143	32.42943818332423
60	32.437039701387995	32.32774190155786	32.27043084048348	32.465753996593904	32.320994003380825	32.285552736845084	32.198856086137255	32.38597775686936
61	32.40274360723813	32.31116146041637	32.23515099884953	32.43976442345682	32.28659483212315	32.26408794935302	32.161448334045595	32.35533439679553
62	32.404753262290065	32.30144576078289	32.238523147061116	32.42709229451765	32.29003685252493	32.259909355209786	32.16578676172747	32.34808208804803
63	32.419428587961136	32.282244257319725	32.25012161944838	32.39775244927505	32.30474049984574	32.23758431932082	32.17885366658951	32.318001175671256
64	32.48482313837398	32.36033590371967	32.319300261775304	32.46968039920484	32.3739282271794	32.31995145519285	32.25143563440563	32.39444530694247
65	32.60716459676793	32.565746128864845	32.44608352935969	32.65143114663851	32.50344712660096	32.52740066204785	32.38417716655947	32.581305325792556
66	33.131630018037576	33.1443672118042	32.986319368435595	33.19048951410113	33.05196536380875	33.11659662441456	32.94219785718738	33.138409158105404
67	34.225049267122024	34.116846671442694	34.167082395409786	33.94651766599931	34.1930188275977	34.09043680001397	34.14928787157951	33.933753785467935
