"Position in Read (bp)"	"ATAC_THP1_0hrPMA_rep1_r1_val_1"	"ATAC_THP1_0hrPMA_rep1_r2_val_2"	"ATAC_THP1_0hrPMA_rep2_r1_val_1"	"ATAC_THP1_0hrPMA_rep2_r2_val_2"	"ATAC_THP1_24hrPMA_rep1_r1_val_1"	"ATAC_THP1_24hrPMA_rep1_r2_val_2"	"ATAC_THP1_24hrPMA_rep2_r1_val_1"	"ATAC_THP1_24hrPMA_rep2_r2_val_2"
13	0.00014265527372075496	0.012995288392242817	0.00015288768717612355	0.012609736761277798	0.00014476334270677296	0.012728099366950693	0.00014265862931274494	0.012645739756422062
14	0.0005212987927987162	0.011064889369127919	0.0004996329646278548	0.010825047811627101	0.0005315899797756909	0.010913415715752129	0.0005247443288007262	0.010662485525137188
15	0.00038926678414227285	0.010106519099397528	0.0004216902221459094	0.0097488384058187	0.00036863233716588086	0.010006073890152848	0.0004010403425435208	0.009791569557374766
16	0.001026662688000965	0.00442838392252301	0.001004262258901988	0.004361795781201171	0.0010291645292978778	0.004431498611165804	0.0010415077552622777	0.004255816172364825
17	0.0015267149506710586	0.010468468916231571	0.001482910639015473	0.009943695262023565	0.0015623366221086154	0.010308257479846766	0.0015063953165191948	0.01009783668464059
18	0.001403788597784025	0.006408105247722211	0.0013849825779484134	0.006233420866697116	0.0014072895446740387	0.006233525358083994	0.0013727152023380214	0.006176220797728699
19	0.002153487589465439	0.015485685245176422	0.0020594870801960174	0.015006975725562246	0.002093926601884306	0.015331466366120037	0.0020451062244134766	0.01515772876767725
20	0.0023052485189556044	0.00800918305384345	0.002194387980645538	0.007723326367217379	0.0022687500922569663	0.007953282227179757	0.0022366478805536656	0.007757437073677655
21	0.004245777826270117	0.012335293775334821	0.0041551537197020046	0.011855603407590037	0.0042419029236639505	0.012133215586710398	0.0041652600392294665	0.011966750870595094
22	0.00328904490932041	0.012234471494398684	0.003299891204525748	0.01194668343007002	0.00326665033789815	0.011945576437996536	0.003242579615955256	0.011687636076568435
23	0.005014518461605846	0.007874044620158085	0.004907314030738416	0.0076332395915665015	0.004977620055294072	0.007786645501721609	0.005032954527006396	0.007678650147994653
24	0.004390493197673166	0.006650437563937278	0.004223266306948335	0.006462955392519907	0.004406223096903933	0.00662566338860981	0.0043740344540987445	0.006492414221896882
25	0.004456419211809254	0.011840475540848192	0.004273723404621252	0.011372039973725778	0.004392732620088871	0.011651620998904271	0.004286778150585272	0.011497623882653012
26	0.003965850756842867	0.005275357138103541	0.0040040498161055035	0.005117291423858199	0.004010502587847916	0.005099871856204927	0.004014759884427286	0.005041343415433574
27	0.005283945557729825	0.007783702654658215	0.005123645645735901	0.007389888180386066	0.00521823798646692	0.007656291077780548	0.005161758485830722	0.007498698357127244
28	0.004413637244584541	0.010098873991621194	0.0044233772048567575	0.009747287995603737	0.004511661053018978	0.009932359165694918	0.004458632284409985	0.00969875503747779
29	0.005111452621862735	0.0067607835477577535	0.004910799116647602	0.006675163151850912	0.005118648690841725	0.0067499788822661866	0.0050996272439396174	0.006416274602308081
30	0.005997759704384463	0.00769882874466729	0.006010586171641351	0.007364980623462995	0.005992385458644387	0.007566128751325534	0.005959409566514074	0.007464035211927052
31	0.004175393778658606	0.006381822004810338	0.004113765026528238	0.006219253629119528	0.004169843941724598	0.006333672932346156	0.00408674734037086	0.006127921232613254
32	0.0056836649929642965	0.009757203036388754	0.005568883801543503	0.009320163772213784	0.005598233252650053	0.00958715964455216	0.005495680916521818	0.009334543985355478
33	0.005884023343695655	0.008693172508714438	0.0057648417000644315	0.008292007690211182	0.005752041674172199	0.008460375882271881	0.005737396983109688	0.008141455600006826
34	0.007074311146972824	0.010514109602605686	0.0069326095065215445	0.009936867428452028	0.0071101777961905845	0.010280201304681968	0.007019154063284414	0.010069441530526291
35	0.007639709828827558	0.00904852540776542	0.007567433808293895	0.00864748808511336	0.0076036013068933725	0.008856523232737362	0.007456117242959726	0.008584157299367491
36	0.006110983830651463	0.009148199385332092	0.005945369268834589	0.008783521312068434	0.005935531662625777	0.00877639559134014	0.005953408060298941	0.008800584379479648
37	0.0030216644631197056	0.008840940084983599	0.0029182801230858415	0.008525396648043715	0.0030369547535618914	0.008611919733369881	0.002986768874266415	0.008552829076205543
38	0.004186501684986179	0.006845779885987582	0.00418458622333847	0.00661358944730723	0.0042574800803031835	0.0067958352538939025	0.004134893909295803	0.0065018196558730545
39	0.0025065914635824843	0.009257177198930907	0.002529129468407362	0.00877443912348698	0.002497448546089764	0.008920986571634598	0.0024444941131556105	0.008759687094976836
40	0.002352269110889288	0.01235525600717895	0.0021963589107824974	0.011796292359121035	0.002274133004579255	0.012121922218055558	0.0021985835300652686	0.011923838781382787
41	0.0016254341274264095	0.013402573270250163	0.001451097651480203	0.012816854625229853	0.001517107624200411	0.013113203934089079	0.001436950950268227	0.012911689355442742
42	0.0007778952862419736	0.007089662023073066	0.0007732366634623631	0.006621108076401336	0.0007942433886816035	0.007012454571328462	0.0007794160803331202	0.006822870448234274
43	0.0001957682182603085	0.007888730290656303	0.00019225774767657098	0.007515541396971142	0.0001801566700931185	0.0076765201718072395	0.00016609075083284707	0.0075367393823687675
44	0.0003998397059463549	0.0056653588530871084	0.00035727064945158835	0.0052484591231912745	0.00040015271535926686	0.005534116672668695	0.000385914088974949	0.005462988382442611
45	0.0001801803707703263	0.012731313264797373	0.00016516215994588081	0.012037958013450546	0.00013046906981494725	0.012485109077547648	0.0001465200443733591	0.012252179943871962
46	0.0009445399182699742	0.009115171404115364	0.0008600590071135286	0.008668173904169296	0.0009110159230999528	0.00901111437725715	0.0008772282999284557	0.00881747877379534
47	0.0005247539871172988	0.007942830037649526	0.0004700018432192705	0.0075901088115044426	0.0004975997450149914	0.007737431513268664	0.0005023613869558524	0.007261430150092967
48	0.00043262278446738403	0.008640465778499749	0.0004523186718750748	0.008201760421579439	0.0004305795724342919	0.008418507927784853	0.0003999177720585766	0.008259729354220742
49	0.0005233180453636763	0.013308459919870275	0.00047283743347352903	0.012739672541344543	0.0005069077887828667	0.013096214617901303	0.000470281081750072	0.012863911707507896
50	0.0005192073800717019	0.006889169875721828	0.0005191443270737907	0.006422413256813744	0.0005581154997114543	0.0066567639303853725	0.000492567743826944	0.006543065812263028
51	0.000251908960441349	0.011168488917331009	0.0002467884132302936	0.010742791070268601	0.00021628357134583203	0.01094900235885694	0.00022349162984735185	0.010810862256407237
52	0.0001448077881439195	0.010748379165971928	0.00013317390047037797	0.01017135248792291	0.00012865682721193623	0.01057679732621437	0.0001265633534607076	0.010269989883244885
53	0.0006934144684761889	0.010374654581018229	0.0006439717665500253	0.009766718324490591	0.0006352083719898799	0.01024489670598278	0.0006316165872135614	0.009890161322489877
54	0.00014505522320494162	0.006849001527827203	0.00012983700990453682	0.00646961981212887	0.00012127722611304136	0.006682944095933923	0.00010227519219202547	0.006536119628209038
55	0.00037067555590567083	0.007873689216738072	0.00036444088638186905	0.007498680960165272	0.0003776780732819983	0.007746831049377087	0.00036256788277181675	0.007636029986434104
56	0.0007088648905802012	0.0073600002893522455	0.0007031298994284448	0.0071928208327841445	0.0007531723046098072	0.0072912036377369635	0.0006483720211797361	0.0069506132675260296
57	0.0000651824986114373	0.0062256787781394315	0.000054817039838461855	0.005994017008362662	0.00005980554573048366	0.006100183592225356	0.00007622332556508129	0.006104811405450023
58	0.0004314032261852279	0.012651495629365385	0.00045322775501351666	0.012143979408249614	0.0004164338089957565	0.012479481922131531	0.00044037928966236936	0.012202907589658913
59	0.00024221944883792256	0.005279024583578571	0.00021292962772462545	0.005169668462865894	0.0002224714734616186	0.005242966494629442	0.00020208212574765032	0.005164152673197174
60	0.0007807855544316965	0.004255776219658115	0.0007206032692368758	0.004024909997910448	0.0007557135207933981	0.00411122971429579	0.0007332331059041388	0.004133918408509005
61	0.0007363859067111337	0.008854245228794824	0.0006957660858470555	0.00855407752938289	0.0007098555195404742	0.008764466527586478	0.0006857482174943041	0.008590237351547786
62	0.000749039309677787	0.00378034771513715	0.000667042221104427	0.003527175873629115	0.0007027892469538196	0.003637725824648797	0.0006618245559908676	0.003565378484741485
63	0.00032360959716766594	0.0095912768304523	0.0002511424989334569	0.009177022334137898	0.00032786032278949134	0.009359887365303472	0.00028751905181882936	0.009225937001587615
64	0.00010740827778765922	0.0015602289668281747	0.00010861538121688819	0.0015185148563081183	0.00009411134508430825	0.0015421493086563314	0.00010156413262076132	0.0014680473889766997
65	0.00015536535304105388	0.0020177891759002482	0.00013743550611196396	0.0018995627478157224	0.00014195735575907802	0.001960678733194487	0.0001412138817450791	0.0018387006670212488
66	0.0001311998377523555	0.0024341477919680157	0.0001451471786507173	0.00230830816485657	0.00012803978547499701	0.002380032847152761	0.00012847134221421588	0.002465425868035045
67	0	0	0	0	0	0	0	0
